project	project_id	filename	url	md5	size_mb
Escherichia_coli	z7q5y	Escherichia_coli_global_ordered_0038.agc	https://osf.io/download/6a35dcd20a676a9b8f1667d7/	523d81a297daa42f10dc07e93dd1648b	138.478981
Lactococcus_lactis	z7q5y	Lactococcus_lactis_global_ordered_0001.agc	https://osf.io/download/6a35e4ce3c2dfbeb681667b3/	90b9d542eb82adf7e7f9e6a92a47e81c	12.330591
Serratia_nevei	z7q5y	Serratia_nevei_global_ordered_0001.agc	https://osf.io/download/6a35f268c0fc74c88b16676c/	5df886997df4f0c2d6819113f8eb304d	55.941870
Staphylococcus_lugdunensis	z7q5y	Staphylococcus_lugdunensis_global_ordered_0001.agc	https://osf.io/download/6a35f37895f8fe95e32bf271/	1bf5a5da838329f012f59ae53cbf0ce3	2.348361
Streptococcus_agalactiae	z7q5y	Streptococcus_agalactiae_global_ordered_0005.agc	https://osf.io/download/6a35f407a9f6cc6cb016674a/	31f5d7b4dec0c458d72ce7754572177c	26.595058
Staphylococcus_pseudintermedius	z7q5y	Staphylococcus_pseudintermedius_global_ordered_0001.agc	https://osf.io/download/6a35f380c0fc74c88b1667ae/	1ec57d87efa75b63deaee9770852e13a	30.457887
Pseudomonas_aeruginosa	z7q5y	Pseudomonas_aeruginosa_global_ordered_0003.agc	https://osf.io/download/6a35ebf06f156d70891cd309/	0e8cce5ce4b2887695906c11c0d0ba87	101.835841
Salmonella_enterica	z7q5y	Salmonella_enterica_global_ordered_0099.agc	https://osf.io/download/6a35f0d7277da94efa2bf2be/	fcf3ad0f915ae9137172336a51bdf705	36.594391
Phocaeicola_vulgatus	z7q5y	Phocaeicola_vulgatus_global_ordered_0001.agc	https://osf.io/download/6a35eb72355cc128c61cd2a7/	01be924db6675bb54bf492f0ff404e79	54.644499
Aeromonas_salmonicida	z7q5y	Aeromonas_salmonicida_global_ordered_0001.agc	https://osf.io/download/6a35cb499f9940ab98166759/	fe324a397cd5a931cbd19aedb31144b2	26.331242
Salmonella_enterica	z7q5y	Salmonella_enterica_global_ordered_0013.agc	https://osf.io/download/6a35edf9705a59d1b72bf279/	ff6f4ff8956cac137e099db4fef42b85	58.420378
Serratia_marcescens_K	z7q5y	Serratia_marcescens_K_global_ordered_0001.agc	https://osf.io/download/6a35f2592d0471590a2bf2ab/	b2aa856e4641d5423edb8244c7613d7e	38.539679
Streptococcus_salivarius	z7q5y	Streptococcus_salivarius_global_ordered_0001.agc	https://osf.io/download/6a35f628b69661572cb0e7fb/	c97397a5f32a47f8ea5e7a59164260f4	14.907737
subthreshold_remainder	z7q5y	subthreshold_remainder_global_ordered_0025.agc	https://osf.io/download/6a35f6b474a64a80b9b0e7ff/	dfc60fb41010950e3b3cd8997d25698a	160.629724
Escherichia_coli	z7q5y	Escherichia_coli_global_ordered_0078.agc	https://osf.io/download/6a35e09391e07975e2166747/	7abf73c3d08e65604cd82a326b1ca61d	130.812088
Salmonella_enterica	z7q5y	Salmonella_enterica_global_ordered_0087.agc	https://osf.io/download/6a35f05f277da94efa2bf2ad/	60e6955bc9b81d5e66a0791219fa3222	30.244980
Pseudomonas_aeruginosa	z7q5y	Pseudomonas_aeruginosa_global_ordered_0003.agc	https://osf.io/download/6a35ebf06f156d70891cd309/	0e8cce5ce4b2887695906c11c0d0ba87	101.835841
Agrobacterium_fabacearum	z7q5y	Agrobacterium_fabacearum_global_ordered_0001.agc	https://osf.io/download/6a35cb72e1cf7dffd61cd2cd/	365b03684524c9011a0c380a189134d8	22.655559
